Features,Importance
avg_sent_time,0.17885167220870202
avg_received_time,0.1298318847205051
time_difference_mins,0.1442984304904014
sent,0.1511774862330764
received,0.04157476632139325
errors,0.013490367206298277
unique_received_addresses,0.03635595530582141
unique_sent_addresses,0.04212120868761547
min_eth_received,0.006670286008388838
max_eth_received,0.010348615793813314
avg_eth_received,0.009821979557276896
min_eth_sent,0.01298355022485173
max_eth_sent,0.01240939755033481
avg_eth_sent,0.01380648724907776
avg_gas_fee,0.06444509282418423
total_txs,0.10027282961038352
total_eth_sent,0.01466600379410664
total_eth_received,0.016873986213768937
